"","job_title","company_name","job_location","job_description"
"377","CLINICAL DIETITIAN","Duke Careers","Durham, NC 27710","Durham, NC 27710Duke University Hospital is consistently rated as one of the best in the United States and is known around the world for its outstanding care and groundbreaking research. Duke University Hospital has 957 inpatient beds and offers comprehensive diagnostic and therapeutic facilities, including a regional emergency/trauma center; a major surgery suite containing 51 operating rooms; an endo-surgery center; an Ambulatory Surgery Center with nine operating rooms and an extensive diagnostic and interventional radiology area. In fiscal year 2018, Duke University Hospital admitted 42,916 patients and had 1,085,740 outpatient visits in fiscal year 2017.

U.S News & World Report named Duke University Hospital #1 in North Carolina and #1 in the Raleigh-Durham area in 2018-19.

Duke University Hospital is ranked in the top 20 nationally for seven adult specialties, including cardiology and heart surgery, nephrology, ophthalmology, orthopedics, pulmonology, rheumatology, and urology.

In addition to its hospitals, Duke Health has an extensive, geographically dispersed network of outpatient facilities that include primary care offices, urgent care centers, multi-specialty clinics and outpatient surgery centers.

General Description of the Job Class
Level I
Coordinate all phases of nutrition care including nutrition assessment, care planning, monitoring, education and counseling of hospitalized patients and outpatients in a variety of settings. Perform duties in support of and in compliance with performance improvement plans, JCAHO, and other licensing, accrediting, and regulatory agencies.
Level II
Function in a supervisory role as a team leader in addition to the duties and responsibilities of Level I.
Duties and Responsibilities of this Level
Level I
Provide nutrition services and medical nutrition therapy integrated with the patient's medical goals. Evaluate, interpret, monitor and document the nutritional status and nutritional needs of hospitalized patients and out patients using established standards of care and practice guidelines.
Identify and provide age-specific nutrition counseling to meet the cultural needs of the patients and their families.
Develop, review, update and implement educational materials to meet the needs of patients and professionals.
Write order for diet, supplement, enteral/parenteral nutrition and laboratory data per hospital policy. Function as an integral member of the clinical interdisciplinary team.
Maintain registered dietitian (RD) status including continuing professional education per the Professional Development Portfolio.
Precept dietetic interns and provide on the job training for newly hired clinical staff. Supervise daily work of dietetic technicians, registered; provide input into evaluation but doesn't directly evaluate their performance.
Comply with Nutrition Services meeting and attendance standards.
Level II
Perform all the duties and responsibilities of Level I.
Complete monthly performance improvement reports.
Assist the department director in reviewing and updating department policies and procedures
Plan and coordinate the work schedule and daily work load of the clinical dietitians and dietetic interns
Other duties assigned by the department director
Required Qualifications at this Level
Education
Level I
Baccalaureate degree in Food and Nutrition, Dietetics, Nutritional Sciences, Human Nutrition, or comparable major.
Successful completion of coordinated program or dietetic internship of not less than 900 hours under the supervision of a Registered Dietitian.
Level II
Same as Level I
Experience
Level I
One year in an acute care environment preferred; experience may be waived for specific positions.
Level II
Two years in an acute care environment with one year supervisory experience preferred; experience may be waived for specific positions.
Degrees, Licensure, and/or Certification
Level I
Registered dietitian (RD) by the Commission on Dietetic Registration; candidates eligible for registration may be hired with the understanding that registration will be achieved within 90 days of hire.
Licensed dietitian/nutritionist (LDN) by the North Carolina Board of Dietetics and Nutrition; proviso for license-eligible dietitians as above Level II
Registered dietitian (RD) by the Commission on Dietetic Registration. Licensed dietitian/nutritionist (LDN) by the North Carolina Board of Dietetics and Nutrition
Or equivalent combination of experience and education

Duke University is an Affirmative Action/Equal Opportunity Employer committed to providing employment opportunity without regard to an individual's age, color, disability, gender, gender expression, gender identity, genetic information, national origin, race, religion, sex, sexual orientation, or veteran status.

Duke aspires to create a community built on collaboration, innovation, creativity, and belonging. Our collective success depends on the robust exchange of ideas—an exchange that is best when the rich diversity of our perspectives, backgrounds, and experiences flourishes. To achieve this exchange, it is essential that all members of the community feel secure and welcome, that the contributions of all individuals are respected, and that all voices are heard. All members of our community have a responsibility to uphold these values.
Essential Physical Job Functions: Certain jobs at Duke University and Duke University Health System may include essential job functions that require specific physical and/or mental abilities. Additional information and provision for requests for reasonable accommodation will be provided by each hiring department."
"378","Registered Dietitian","Cleveland Clinic","Cleveland, OH 44195 (Fairfax area)","Cleveland, OH 441951+ years experienceProvides individualized medical nutrition therapy, education and counseling to patients. Works collaboratively with other health disciplines and departments to optimize nutrition care and patient experience.
Responsibilities:
Provides direct patient care using medical nutrition therapy for an assigned patient population.
Provides counseling and education services to patient with disease processes that require nutritional management.
Implements a nutritional care plan, communicates plan, establishes a follow-up system and maintains documentation.
Writes changes for diet orders; initiates nutrient intake assessments; assesses patients for signs and symptoms of nutritional deficiencies; evaluates appropriate fluid and electrolytes; reviews laboratory and clinical progress notes; informs physicians of patients' nutritional status and need for changes in diet, enteral or parenteral feeding; develops care plans, documentation and reassessments.
Coordinates efforts of dietetic technician assigned to area.
Develops and contributes to Cleveland Clinic sponsored education programs for physicians, nurses, allied health professionals, students, peers and the public.
Creates and revises education materials related to disease management through medical nutrition therapy.
Participates in program development designed to market and expand departmental services and revenue generation.
Markets services to potential and current referral sources; develops and implements services in response to client's needs and wants.
Actively contributes to departmental initiatives, including committees and projects.
Supports the dietetic internship program as a supervised practice rotation preceptor and class instructor.
Completes reports for ongoing productivity tracking.
Participates in professional growth activities; attends and contributes to conferences and seminars on nutrition and related topics.
Represents Cleveland Clinic on nutrition related matters.
Conducts clinical research. Utilizes clinical software applications to facilitate care.
Complies with all regulatory organizations including CMS, JCAO, ADA and policies and procedures of the department and Cleveland Clinic.
Other duties as assigned.
Education:
Bachelor's degree in nutrition, dietetics or a closely related field.
Certifications:
Maintains current license to practice dietetics in the current state (LD) and active certification as a Registered Dietitian (RD).
Complexity of Work:
Requires critical thinking skills, decisive judgment and the ability to work unsupervised or with minimal supervision.
Must be able to work in a stressful environment and take appropriate action.
Work Experience:
Minimum one year experience as a Registered Dietitian in clinical nutrition.
Successful completion of a Dietetic Internship Program may substitute for experience requirement.
Physical Requirements:
Ability to navigate extensively to provide services to a large number of patients throughout the hospital and manual dexterity sufficient to perform computer entry.
Must have physical ability to measure and weigh patients.
Personal Protective Equipment:
Follows standard precautions using personal protective equipment as required.
The policy of Cleveland Clinic and its system hospitals (Cleveland Clinic) is to provide equal opportunity to all of our employees and applicants for employment in our tobacco free and drug free environment. All offers of employment are followed by testing for controlled substance and nicotine. Job offers will be rescinded for candidates for employment who test positive for nicotine. Candidates for employment who are impacted by Cleveland Clinic’s Smoking Policy will be permitted to reapply for open positions after 90 days. Decisions concerning employment, transfers and promotions are made upon the basis of the best qualified candidate without regard to color, race, religion, national origin, age, sex, sexual orientation, marital status, ancestry, status as a disabled or Vietnam era veteran or any other characteristic protected by law. Information provided on this application may be shared with any Cleveland Clinic facility.
Cleveland Clinic is pleased to be an equal employment employer: Women/Minorities/Veterans/Individuals with Disabilities"
"379","TRAVELING PATIENT SERVICES MANAGER","Compass Group","Atlanta, GA 30350","Atlanta, GA 30350Contract1+ years experiencePosted Date: Aug 9, 2019
Morrison Healthcare is a leading national food and nutrition services company exclusively dedicated to serving more than 600 hospitals and healthcare systems. Morrison's hospital kitchens, restaurants, and cafés feature socially responsible practices and exceptional guest experiences. The company's comprehensive Mindful Choices® wellness and sustainability platform includes the latest in healthful eating and an understanding of behavioral change in food consumption. Morrison's alignment with Partnership for a Healthier America's (PHA) Hospital Healthy Food Initiative positively impacts up to 41 million patients and 500 million hospital meals annually. Morrison has been named one of Modern Healthcare's ""Top 100 Best Places to Work in Healthcare"" for the past five years, and Training Magazine's Top 125 organizations for the past six consecutive years. The company is a division of Compass Group and has more than 1,200 registered dietitians, 300 executive chefs, and 17,000 professional food service team members.
Job SummaryWorking as a Traveling Patient Services Manager, you will have the opportunity to perform a variety of duties to include the planning and supervision of patient food assembly and service, and the scheduling, hiring, dismissal and training of tray line, diet office and hospitality personnel. Additionally, as a member of the management team, you will ensure patient satisfaction and good public relations through the safe and efficient use of resources. This exciting position will provide both challenge and satisfaction while allowing you continued career growth. ***NOTE: THIS POSITION IS 100% TRAVEL ACROSS THE UNITED STATES - ANYWHERE MORRISON HEALTHCARE HAS AN ACCOUNT***
Key Responsibilities:
Establishes goals and oversees implementation of patient food services needs based upon medical direction, patient population and contract
Hires, leads, directs, coaches, trains, and develops patient services team members
Complies with dietary restrictions on special or modified diets to ensure optimal food preferences are met within guidelines of diet order limitations
Complies with regulatory agencies, including federal, state, and Joint Commission as evidenced by successful completion of surveys with no deficiencies
Visits patients on an assigned nursing unit or area and helps ensure that every patient is visited by a member of the management or professional team at least once during their hospital stay
Ensures patient services staff assists in achieving stated patient satisfaction goals
Participates in facility-wide and department Performance Improvement Program and on Performance Improvement teams to improve processes and patient care
Follows facility, department, and Company safety policies and procedures to include occurrence reporting
Participates and attends all departmental meetings, staff development, and professional programs, as appropriate
Preferred Qualifications:
B.S. Degree in Food Services Technology/Management, Dietetics or related field; or Associate’s Degree plus three years of directly related experience preferred
Minimum of three years of acute or long-term care experience preferred, depending upon formal degree or training
One to three years of direct foodservice operational management experience, preferably in an acute or long-term care setting
Knowledge of P&L accountability and contract-managed service experience is desirable
Registered Dietitian, Registered Diet Technician or Certified Dietary Manager certificate preferred
Must be willing to participate in patient/resident satisfaction programs/activities
ServSafe certified highly desirable
Apply to Morrison Healthcare today!
Morrison Healthcare is a member of Compass Group USA
Click here to Learn More about the Compass Story
Compass Group is an equal opportunity employer. At Compass, we are committed to treating all Applicants and Associates fairly based on their abilities, achievements, and experience without regard to race, national origin, sex, age, disability, veteran status, sexual orientation, gender identity, or any other classification protected by law."
"380","PATIENT SERVICES MANAGER (TEMP) - New Haven, CT","Compass Group","New Haven, CT 06511 (Newhallville area)","New Haven, CT 06511Temporary, Contract1+ years experiencePosted Date: Aug 6, 2019Morrison Healthcare is a leading national food and nutrition services company exclusively dedicated to serving more than 600 hospitals and healthcare systems. Morrison's hospital kitchens, restaurants, and cafés feature socially responsible practices and exceptional guest experiences. The company's comprehensive Mindful Choices® wellness and sustainability platform includes the latest in healthful eating and an understanding of behavioral change in food consumption. Morrison's alignment with Partnership for a Healthier America's (PHA) Hospital Healthy Food Initiative positively impacts up to 41 million patients and 500 million hospital meals annually. Morrison has been named one of Modern Healthcare's ""Top 100 Best Places to Work in Healthcare"" for the past five years, and Training Magazine's Top 125 organizations for the past six consecutive years. The company is a division of Compass Group and has more than 1,200 registered dietitians, 300 executive chefs, and 17,000 professional food service team members.
Job Summary
This is a 3- 6 month temporary assignment covering an LOA, and if the incumbent does note return there may be other permanent opportunities available at the location.
Job Summary:
Working as a Patient Services Manager, you will have the opportunity to perform a variety of duties to include the planning and supervision of patient food assembly and service, and the scheduling, hiring, dismissal and training of tray line, diet office and hospitality personnel. Additionally, as a member of the management team, you will ensure patient satisfaction and good public relations through the safe and efficient use of resources. This exciting position will provide both challenge and satisfaction while allowing you continued career growth.
Key Responsibilities:
Establishes goals and oversees implementation of patient food services needs based upon medical direction, patient population and contract
Hires, leads, directs, coaches, trains, and develops patient services team members
Complies with dietary restrictions on special or modified diets to ensure optimal food preferences are met within guidelines of diet order limitations
Complies with regulatory agencies, including federal, state, and Joint Commission as evidenced by successful completion of surveys with no deficiencies
Visits patients on an assigned nursing unit or area and helps ensure that every patient is visited by a member of the management or professional team at least once during their hospital stay
Ensures patient services staff assists in achieving stated patient satisfaction goals
Participates in facility-wide and department Performance Improvement Program and on Performance Improvement teams to improve processes and patient care
Follows facility, department, and Company safety policies and procedures to include occurrence reporting
Participates and attends all departmental meetings, staff development, and professional programs, as appropriate
Preferred Qualifications:
B.S. Degree in Food Services Technology/Management, Dietetics or related field; or Associate’s Degree plus three years of directly related experience preferred
Minimum of three years of acute or long-term care experience preferred, depending upon formal degree or training
One to three years of direct foodservice operational management experience, preferably in an acute or long-term care setting
Knowledge of P&L accountability and contract-managed service experience is desirable
Registered Dietitian, Registered Diet Technician or Certified Dietary Manager certificate preferred
Must be willing to participate in patient/resident satisfaction programs/activities
ServSafe certified highly desirable
Apply to Morrison Healthcare today!
Morrison Healthcare is a member of Compass Group USA
Click here to Learn More about the Compass Story
Compass Group is an equal opportunity employer. At Compass, we are committed to treating all Applicants and Associates fairly based on their abilities, achievements, and experience without regard to race, national origin, sex, age, disability, veteran status, sexual orientation, gender identity, or any other classification protected by law.
Req ID: 305445
Morrison Healthcare
YVONNE GRAHAM
SALARIED EXEMPT"
"381","Dietary Service Supervisor","American Medical Facilities Management","Fayetteville, WV 25840","Fayetteville, WV 25840Fayette Nursing and Rehab Center
is seeking a
Dietary Service Supervisor
Purpose of the Job:
Direct the operations of the department to ensure the highest quality dietary services in accordance with the state and federal regulations.
Provide leadership for the staff in the department in accordance with approved policies and procedures.
Education and Experience Requirements:
Requires a High School diploma or GED equivalent.
Must be:
1) A dietetic technician, registered by the American Dietetic Association
2) A Certified Dietary Manager, as certified by the Dietary Manager’s Association
3) A graduate of an associate or baccalaureate degree program in foods and nutrition or food service management.
Current food handlers card must be obtained, if a county requirement.
Some supervisory experience in commercial food service is helpful, but not absolutely necessary.
We Offer:
Competitive Wages
401(k) Retirement Plan
Wellness Plan
EOR M/F/V/D - Drug Free Employer"
"382","Registered Dietitian RD or Registered Dietetic Technician DTR","Cornerstone Family Healthcare","Newburgh, NY 12550","Newburgh, NY 125501+ years experienceCornerstone Family Healthcare is in search of a dynamic Registered Dietitian RD or Registered Dietetic Technician DTR to plan, implement, and evaluate nutritional education activities for patients at our Community Health Center in Newburgh, NY.Description of Duties: Conduct nutrition risk assessment to determine all nutrition risk criteria and program eligibility based on risks to complete enrollment.Prescribe, tailor, authorize and reissue food package.Provide nutrition education responsive to the identified needs/interests of at-risk participants.Provide and document appropriate follow-up referrals to other health and social services.Implement individual care plans for at-risk participants (CPA-initiated and participant request)Plan, conduct and evaluate the nutrition program at the CORNERSTONE (develop lesson plans, handouts, etc.)Issue supplemental formula to breastfeeding infants.Review and approve formula requests requiring medical documentation for participants in consultation with the health care providers.Provide high-risk nutritional counseling.Develop individual care plans for high-risk participants.Coordinate nutrition counseling activities at CORNERSTONE responsive to the identified needs/interests of high-risk participantsPerform other related duties as assigned by the WIC program Director.Attend and participate in monthly department, All Staff and other required meetings.Be familiar with and adhere to all clinical, administrative, and general policies and procedures as outlined in the CORNERSTONE Policy and Procedure Manual and Employee Handbook.Maintain confidentiality of all aspects of CORNERSTONE including, but not limited to, patient confidentiality, financials, and employee relations.Perform other duties as assigned.Education: Bachelor’s Degree in Nutritional Sciences, community nutrition, clinical dietetics, foods and nutrition from a regionally accredited college or university, or one recognized by New York State Education DepartmentExperience Required: Completion of a dietetic internship in an institution approved by the American Dietetic Association and is either currently registered or is eligible for registration by the American Dietetic Association.Benefits Include: We offer a highly competitive salary & benefit package including over 3 weeks of paid time off a year. We also provide Top-notch group medical, dental and vision insurance | Long-term disability and life insurance | 403(b) Retirement Plan | Supplemental disability, accident, and life insurance Please submit a Cover Letter, Current Resume, and Salary Requirements. Cornerstone Family Healthcare is a nonprofit community health center. Our mission is to provide quality, affordable healthcare services to our community.The U.S. Department of Agriculture prohibits discrimination against its customers, employees, and applicants for employment on the bases of race, color, national origin, age, disability, sex, gender identity, religion, reprisal, and where applicable, political beliefs, marital status, familial or parental status, sexual orientation, or all or part of an individual's income is derived from any public assistance program, or protected genetic information in employment or in any program or activity conducted or funded by the Department. (Not all prohibited bases will apply to all programs and/or employment activities.) If you wish to file a Civil Rights program complaint of discrimination, complete the USDA Program Discrimination Complaint Form, found online at: http://www.ascr.usda.gov/complaint_filing_cust.html or at any USDA office, or call (866) 632-9992 to request the form. Send your completed complaint form or letter to us by mail at U.S. Department of Agriculture, Director, Office of Adjudication, 1400 Independence Avenue, S.W., Washington, D.C. 20250-9410, by fax (202) 690-7442. Individuals who are deaf, hard of hearing or have speech disabilities may contact USDA through the Federal Relay Service at (800) 877-8339; or (800) 845-6136 (Spanish). USDA is an equal opportunity provider and employer.Job Type: Full-timeExperience:WIC: 1 year (Preferred)RD or DTR: 1 year (Preferred)Education:High school or equivalent (Required)License:RD (Preferred)DTR (Preferred)"
"383","Nutrition Services Manager - $10k Sign-On Bonus Available","Encompass Health Rehabilitation Hospital of Midland Odessa","Midland, TX","Midland, TX3+ years experienceClinical excellencePersonal triumphsBE THE CONNECTION.Be the seamless connection between your compassion and expertise and compelling, positive patient outcomes with a national rehabilitation leading hospital. Passionate about making a difference in the lives of others on an everyday basis, we foster a culture of compassion and collaboration. We offer exceptional career resources, including opportunities for skill-building, training, education, and development. As the nationwide rehabilitation leader, we operate rehabilitation hospitals, outpatient rehabilitation hospitals, outpatient clinics, and home health and hospice services in 36 states and Puerto Rico.Nutrition Services ManagerEncompass Health Rehabilitation Hospital of Midland OdessaMidland, TX$10,000 Sign-On Bonus with a Two-Year CommitmentJoin our organization and enjoy: Opportunities to make inspiring contributionsOutstanding compensationMedical, dental, vision plans that are customizable to fit your needsFlexible spending account for healthcare and dependent careGenerous time-off plans for eligible employeesContinuing education: A full complement of continuing-education courses and a wide variety of career development opportunities401(k) plan with match for full-time and part-time employeesThe Nutrition Services Manager plans, directs and coordinates the activities of the Nutrition Services Department to provide nutritional services to patients as well as employees and guests. The position establishes policies and procedures to provide administrative direction for cafeteria management, food preparation, distribution, service, budgeting, purchasing, sanitation standards, safety practices, staffing and staff development. In addition, the Manager may assist Dietitian with nutrition assessments if qualified.The Manager is responsible for helping to create an environment and culture that enables the department to fulfill its mission by meeting or exceeding its goals. This position will support cultural diversity by ensuring that the delivery of quality, equitable and culturally competent patient-centered care is provided; promoting and maintaining an inclusive work environment and culture that is respectful and accepting of diversity; and ensuring that cultural diversity and sensitivity training is part of new employee orientation on an on-going basis to meet the needs of the patient population served in the hospital.Licensure: CDM or Dietetic Technician registration with ADA if required by State or other regulatory agency.Current member of ADA if required by State or other regulatory agency.Education, Training and Years of Experience: Graduate of an associate degree program in food service, preferred. Must have thorough knowledge of nutrition and dietetics, administration and operation of hospital food services, and knowledge of all H.A.C.C.P. guidelines, preferred.Three years food service supervisory experience, preferably in healthcareEmail Your Resume Today and Enjoy Your Career for Years to Come.EOEJob Type: Full-time"
"384","Nutrition and Food Services Manager","Park View Care Center","Buffalo, MN 55313","Buffalo, MN 553132+ years experiencePark View Care Center, a 5-star facility, is seeking an experienced Nutrition and Food Services Managerto join our team! With the support of the home office dietitians, you will direct the overall operations of the Culinary Services department to ensure quality food and nutritional services are provided to our residents. You will also ensure our residents receive a first-class dining experience through supervising and staffing exceptional dietary aides and cooks.Preference will be given to those candidates who are a Certified Dietary Manager or have a degree in Dietetics or Nutrition.This is a Full-Time,benefit eligible position.Nutrition and Food Services Manager responsibilities: Ensure appropriate nutritional care is provided to all residents.Coordinate with home office dietitians to plan meals at the facility.Oversee daily operations of the Culinary Services department.Guarantee meals, snacks, and supplements are planned, prepared, and served to residents in a pleasant atmosphere.Recruit, hire, and supervise department staffMaintain inventory control of food, supplies, and equipment.Fill in for dietary staff positions on an emergency basis.Prepare employee schedules, maintain attendance records, and approve payroll.Promote special food events (Thanksgiving, Christmas, Easter, etc.) for residents and guests.Perform additional tasks as required.Nutrition and Food Services Manager skills and requirements: 2+ years of leadership/ supervisory experience required.Registered MN Dietitian/Dietary Technician or a MN Certified Dietary Manager required at time of hire.ServSafe certificate, preferred.Knowledge of local, state and federal food service regulations, preferred.Large scale batch cooking experience required.Excellent interpersonal and communication skills.We Offer: Full-Time Employees are offered a benefit package including PTO, Holiday Pay, Medical, Dental, Vision insurance, Life insurance, Disability insurance, retirement plan, Flex Spending, Tuition Discount at Partner Colleges and more.About Us: Park View Care Center of Buffalo offers a full continuum of senior care, specializing in skilled nursing services, rehab nursing and memory care. This skilled nursing home contains small “neighborhoods” that allow residents and staff opportunities to develop meaningful relationships with one another.Cassia, an affiliation between Augustana Care and Elim Care, is a Christian mission organization with over 200 years of combined experience caring for those in need. We strive to inspire residents to live the lives that are most fulfilling to them. We take pride in the longevity of our management team and invite you to apply to learn more!To be considered, please apply online or stop in at 200 Park Ln, Buffalo, MN 55313, to fill out an application.EOE/AA Employer/Vet/Disabled *A Drug Free Workplace *A Veteran Friendly EmployerLocation: US-MN-BuffaloJob Type: Full-timeExperience:leadership/ supervisory: 2 years (Required)License:servsafe (Required)MN Dietician or Certified Dietary Manager (Required)Work Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offParental leave"
"385","Dietetic Technician","Villa Las Palmas Healthcare Center","El Cajon, CA 92020","El Cajon, CA 92020At VLP our goal is to wonderfully enrich thousands of lives, one person at a time. We are dedicated to providing person-centered health care services and are passionate about serving our residents and their families in a nurturing, transitional environment between hospital and home.
Responsibilities
The Dietetic Technician will work directly under the supervision of the Registered Dietitian Nutritionist to provide nutrition education, conduct nutrition screening for incoming residents, complete quarterly assessments, monitor resident food and fluid intake, and other nutrition duties as assigned. Bachelor's degree preferred.
Anthem Blue Cross or Kaiser Permanente Health Insurance
Health Savings Accounts
Dental insurance by Delta Dental
401(k) provided by T. Rowe Price
Employee Assistance Program
Free continuing education units through PlumUniversity.com
And much more!
Qualifications
EOE - M/F/Disabled/Veterans
Plum Healthcare Group, LLC does not own or operate skilled nursing facilities. Plum supports an affiliated family of independently licensed and operated skilled nursing providers by providing an array of administrative and consulting support services. References to “Plum” or the words “company,” “we,” “our,” “us,” “its” or similar language do not imply that Plum Healthcare Group, LLC has direct operating assets, employees, or revenue or that any of the affiliated entities, including facilities or other businesses are operated or managed by the same entity."
"386","Registered Dietitian - Mental Health, Residential","Discovery Behavioral Health","San Jacinto, CA 92582","San Jacinto, CA 92582Part-timeJob Location
Riverside MH RTC - San Jacinto, CA
Position Type
Part-Time
Job Shift
Part-Time
Job Category
Discovery Mood & Anxiety Program
The Registered Dietitian (RD) is a vital part of our comprehensive treatment team. They are responsible for all dietary services and interact closely with our clients. The RD is responsible for consulting in a collaborative fashion with the Discovery treatment team to ensure the best standard of nutrition and dietary services are achieved. Responsibilities include dietary support and supervision, grocery budget allocation, nutrition component design, creation of original class protocols, training new RD’s, and working in collaboration with the Program Director to provide dietary employee reviews and support.
Responsibilities
Consulting and supporting dietary staff at the assigned facility
Leading the Dietary Exposure groups, Nutrition Education groups and Restaurant Exposure outings
Meeting with clients in one-on-one meetings
Managing the grocery budget
Initiating accounts/agreements with dietary supplement companies
Analyzing food service providers to ensure quality products at cost effective prices
Supervising quarterly revision of the cycle menu
Designing dietary components in compliance with Department of Health, Joint Commission Accreditation standards. This is in collaboration with the Director of Performance Improvement
Training new Registered Dietitians and other dietary staff
Supervising Diet Technicians
Attending weekly treatment team meetings
Team-building exercises and activities
May be required to travel to other facilities to attend trainings
This is a part-time position at one of our residential programs. For a virtual tour of the facility, please visit our website at discoverymood.com.
Qualifications
Minimum of a bachelor's degree at a US accredited university or college and course work accredited or approved by the Accreditation Council for Education in Nutrition and Dietetics (ACEND) and an RD credential
Licensed registered dietitian strongly preferred
Two years’ experience in dietary education and management preferred
Eating disorder experience preferred
Able to provide documentation or obtain a state required food handler's permit, or Serve Safe Certification, upon hireWhy Work with Us
At Discovery Mood & Anxiety Program you will have the opportunity to work closely within a team of professionals consisting of mental health experts, all dedicated to promoting lasting health and healing. Clinical supervision and guidance are provided on total client care and therapeutic milieu management, as well as career growth and personal development oversight. You will develop an individualized growth plan which will help you develop your professional skills and career objectives.
Get to Know Us
Discovery Mood & Anxiety Program has a 20-year legacy of transforming lives by promoting health, healing and hope to our clients and their families. We serve adolescents in both residential and outpatient settings. It is our mission to create a transformative therapeutic experience aimed at profoundly and creatively facilitating behavioral, emotional and spiritual growth. We place a high priority on providing an environment that supports an unlimited capacity for learning, and we seek qualified individuals who share our passion for improving the lives of those we serve. With plans for continued growth, upward job mobility makes this an ideal workplace for those who want to build a career in the behavioral health sector. Come grow with us.
INDL"
"387","Diet Technician","Southern New Hampshire Medical Center","Nashua, NH","Nashua, NHDepartment: Nutrition

Schedule: Per diem

Shift: Day/evening

Hours: varies
For more than 100 years, Southern New Hampshire Medical Center has honored our mission: to improve, maintain, and preserve the overall health and well-being of individuals living in the greater Nashua area by providing information, education, and access to exceptional health and medical care services.
We have literally been at the heart of better health for Greater Nashua. Our main downtown campus, a familiar landmark for generations, has grown along with the Gate City. Today, The Medical Center and our affiliated doctors and services extend across much of southern New Hampshire. Along with our growth has been the opportunity for many to build and enhance their careers within our organization. We encourage the professional and personal development of our employees and are proud of the workplace culture we have developed.At Southern New Hampshire Health, we believe in the little moments and the power of small gestures. It is our desire to make every patient, family or visitor interaction meaningful.You’ll see some of these wonderful moments in our new video “We believe in the little moments…”See some of the wonderful moments here!Summary:The Diet Technician provides food and nutrition services to patients under the supervision of a Dietitian.Qualifications: 2 year accredited Dietetic Technician program completed or 4 year bachelor’s degree in nutrition and dietetics from an accredited program Self-motivated to keep current with best practices and education for self. Must have basic math skills to include multiplication, addition and the use of a calculator. Possess excellent customer service skills. Must be able to clearly speak, read, write and comprehend English. Must be able to follow both written and verbal instructionsWe are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, disability status, veteran status, or any other characteristic protected by law."
"388","Food and Nutrition Services Manager I Christopher House","Vivage","Wheat Ridge, CO","Wheat Ridge, COFood and Nutrition Services ManagerIs managing multiple things at one time easy for you?Are you passionate about building relationships and connections with people?Do you like to collaborate and work as part of a team?Are you passionate about delivering high quality service?At Vivage, we’re recognized as a national leader driving high quality service innovation for seniors and value for our investors. Vivage Senior Living is the combined entity of two established Colorado senior housing and post-acute healthcare leaders: Quality Life Management and Piñon Management. ""Vivage” means ""celebrating aging” inspiring our focus to create innovative and customer-driven models filled with personalized and meaningful living experiences.We are a senior health care, solution driven company which provides right care….. right place…..right time. Our Mission, Vision and Pillars of Commitment have come from our collective personal awareness and professional dedication to the importance of each person we serve, each employee we work with, and each business partner we have. At Vivage we bridge today’s healthcare opportunities with innovative strategies and solutions.Engaging Culture ~ Competitive Pay ~ Growth Opportunities ~ Great Benefits ~ Family Environment ~ Payactiv OVERVIEW OF ROLEThe Food and Nutrition Services Manager is in charge of production and service of high quality meals; organize, supervise, and train dining services employees; purchase food and supplies; provide a sanitary and infection free environment; participate in the assessment process; write care plans; prepare menus and meals; make decisions. Prepare, cook, season, and serve adequate, attractive, nutritious, and balanced meals, including meat, fish, fowl, vegetables, fruit, soups, salads, desserts, breads, and pastries, as specified and scheduled by the menus. The person holding this position is delegated the responsibility for carrying out the assigned duties and responsibilities in accordance with current existing federal and state regulations and established company policies and procedures and reports to the Administrator.KEY RESPONSIBILITIES: Meal Plan DutiesAssist in the development of dietetic policies and proceduresPlan diets to be reviewed by dietitianMaintain a file of standard recipesVisit residents and assist in gathering information on food preferencesFollow up recommendations of the dietitian and state survey teamMonitor residents weightsMaintain records, such as meal census, diets served, menus, purchase records, nutrition assessments and care plans, and weekly staffing patternsAssist in the resident assessment and comprehensive care planPlan menus, conferring with a dining services consultant as needed, to ensure that menus conform to nutritional standards and government and established regulations and proceduresReview resident diet information and care plans, and discuss with resident, family, nursing staff, and consultant dietitian as necessary to make appropriate changesInstruct new residents concerning when meals are to be served, coffee time, and convey methods of serving nourishmentMeal Preparation DutiesSupervise the receiving and storage of foodSupervise food preparation and serviceMaintain high sanitation standardsEnsure maintenance of equipmentSchedule food service employeesSupervise cleaning procedures to ensure safe and sanitary conditions are maintained within the food service department, including kitchen, dining room, refrigerators and freezersEDUCATION AND EXPERIENCE: License/Certification: Dietitian, ADA, Diet Technician, chef, and/or dietary manager meeting current requirements established by the state regulatory agency.Education: High school diplomaExperience: Previous experience in the dietary department of a health care facility preferred.Job Knowledge: Ability to read, write, and use mathematics and units of measurement, knowledge of menus, recipes, food purchasing, preparation, and storage, ability to supervise and manage people, knowledge of community policies and procedures and job descriptions.Vivage is an Equal Opportunity Employer.Job Type: Full-time"
